chembl_id,molregno,iupac_name,smiles,molecular_weight,aLogP,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_logp,cx_logd,molecular_species,qed_weighted,np_likeness_score,ic50_value,ic50_units,standard_relation,target_name,target_type,cell_description,disease_name,disease_category,mechanism_of_action,action_type,warning_type,warning_description,IUPACName
CHEMBL44,2658,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,270.24,2.58,5,3,90.9,1,N,0,3.08,2.12,NEUTRAL,0.63,1.35,15100,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Breast Neoplasms,breast cancer,,,,,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one"
CHEMBL7976,2689,CHALCONE,O=C(/C=C/c1ccccc1)c1ccccc1,208.26,3.58,1,0,17.07,3,N,0,3.89,3.89,,0.56,-0.04,63000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(E)-1,3-diphenylprop-2-en-1-one"
CHEMBL429023,2812,ROTENONE,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,394.42,3.7,6,0,63.22,3,N,0,3.32,3.32,NEUTRAL,0.74,1.84,0.008,ug.mL-1,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(1S,6R,13S)-16,17-dimethoxy-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one"
CHEMBL7940,2935,DEHYDROROTENONE,C=C(C)[C@H]1Cc2c(ccc3c(=O)c4c(oc23)COc2cc(OC)c(OC)cc2-4)O1,392.41,4.25,6,0,67.13,3,N,0,3.45,3.45,NEUTRAL,0.62,1.51,5,ug.mL-1,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(6R)-16,17-dimethoxy-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-1(13),3(11),4(8),9,14,16,18-heptaen-12-one"
CHEMBL45,3012,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,232.28,1.86,2,2,54.12,4,N,0,1.15,1.15,NEUTRAL,0.84,-0.52,,,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Acute Kidney Injury,Acute kidney injury,Melatonin receptor agonist,AGONIST,,,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide
CHEMBL8145,3281,DAIDZEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,254.24,2.87,4,2,70.67,1,N,0,2.73,1.77,ACID,0.7,0.83,10,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Osteoporosis,osteoporosis,,,,,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one
CHEMBL47,3345,ALPHA-TOCOPHEROL,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,430.72,8.84,2,1,29.46,12,N,1,10.51,10.51,NEUTRAL,0.36,1.5,329000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol"
CHEMBL8260,3665,BAICALEIN,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,270.24,2.58,5,3,90.9,1,N,0,2.71,1.95,NEUTRAL,0.59,1.27,5.3,ug.mL-1,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),"Influenza, Human",influenza,,,,,"5,6,7-trihydroxy-2-phenylchromen-4-one"
CHEMBL50,3666,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.99,7,5,131.36,1,N,0,2.16,1,ACID,0.43,1.7,24000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Aging,aging,,,,,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one"
CHEMBL8320,3765,BENZOQUINONE,O=C1C=CC(=O)C=C1,108.1,0.25,2,0,34.14,0,Y,0,1.02,1.02,,0.42,0.59,2570,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"cyclohexa-2,5-diene-1,4-dione"
CHEMBL52,3784,NORDIHYDROGUAIARETIC ACID,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,302.37,3.57,4,4,80.92,5,N,0,4.76,4.75,NEUTRAL,0.64,0.69,24600,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"4-[4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol"
CHEMBL54,3859,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,4.43,3,1,40.54,6,N,0,3.66,2.93,NEUTRAL,0.76,-0.94,24900,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Aggression,aggressive behavior,D2-like dopamine receptor inverse agonist,INVERSE AGONIST,Black Box Warning,,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one
CHEMBL8771,3998,NEOPLANOCIN A,Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,263.26,-1.4,8,4,130.31,2,N,0,-2.19,-2.19,NEUTRAL,0.49,1.05,25000,nM,<,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-3-(hydroxymethyl)cyclopent-3-ene-1,2-diol"
CHEMBL8483,4228,,CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,297.4,2.52,4,1,72.47,11,N,0,2.95,2.95,NEUTRAL,0.36,0.46,37310,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,3-oxo-N-[(3S)-2-oxooxolan-3-yl]dodecanamide
CHEMBL8620,4240,,CN1CC=C(c2c(O)cc(O)c3c(=O)oc(-c4ccccc4Cl)cc23)CC1,383.83,4.24,5,2,73.91,2,N,0,3.73,3.71,NEUTRAL,0.69,0.55,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"3-(2-chlorophenyl)-6,8-dihydroxy-5-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)isochromen-1-one"
CHEMBL8424,4263,,CN1CC=C(c2c(O)cc(O)c3c(O)cc(-c4ccccc4)nc23)CC1,348.4,3.74,5,3,76.82,2,N,0,2.5,2.64,BASE,0.66,0.09,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"5,7-dihydroxy-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)-2-phenyl-1H-quinolin-4-one"
CHEMBL8656,4271,,O=c1cc(-c2ccccc2Cl)oc2c(-c3cncnc3)c(O)cc(O)c12,366.76,3.98,6,2,96.45,2,N,0,3.34,2.03,ACID,0.56,0.39,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-(2-chlorophenyl)-5,7-dihydroxy-8-pyrimidin-5-ylchromen-4-one"
CHEMBL268656,4314,,O=c1cc(-c2ccccc2Cl)oc2c(-c3ccncc3)c(O)cc(O)c12,365.77,4.59,5,2,83.56,2,N,0,4.04,2.98,ACID,0.54,0.45,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-(2-chlorophenyl)-5,7-dihydroxy-8-pyridin-4-ylchromen-4-one"
CHEMBL8815,4315,,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(C4CCCCC4)oc23)CC1,355.43,3.97,5,2,73.91,2,N,0,3.21,2.99,ACID,0.85,1.02,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-cyclohexyl-5,7-dihydroxy-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)chromen-4-one"
CHEMBL9052,4354,,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccncc4)oc23)CC1,350.37,2.99,6,2,86.8,2,N,0,1.32,1.1,ACID,0.74,0.84,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"5,7-dihydroxy-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)-2-pyridin-4-ylchromen-4-one"
CHEMBL9094,4355,,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccc(Cl)cc4Cl)oc23)CC1,418.28,4.9,5,2,73.91,2,N,0,3.75,3.53,ACID,0.62,0.49,1500,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-(2,4-dichlorophenyl)-5,7-dihydroxy-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)chromen-4-one"
CHEMBL8675,4356,,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4)oc23)CC1,349.39,3.59,5,2,73.91,2,N,0,2.54,2.32,ACID,0.74,0.95,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"5,7-dihydroxy-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)-2-phenylchromen-4-one"
CHEMBL269124,4357,,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4I)oc23)CC1,475.28,4.19,5,2,73.91,2,N,0,3.47,3.25,ACID,0.54,0.76,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"5,7-dihydroxy-2-(2-iodophenyl)-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)chromen-4-one"
CHEMBL8958,4387,,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Br)oc23)CC1,428.28,4.35,5,2,73.91,2,N,0,3.31,3.09,ACID,0.64,0.76,1000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-(2-bromophenyl)-5,7-dihydroxy-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)chromen-4-one"
CHEMBL268170,4401,,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4F)oc23)CC1,367.38,3.73,5,2,73.91,2,N,0,2.68,2.46,ACID,0.72,0.55,1000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-(2-fluorophenyl)-5,7-dihydroxy-8-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)chromen-4-one"
CHEMBL465,4496,DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,314.47,5.74,2,1,29.46,4,N,1,5.94,5.94,NEUTRAL,0.57,2.31,57000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Alcohol Drinking,alcohol drinking,Cannabinoid CB1 receptor agonist,AGONIST,,,"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol"
